entity_type,country_code,account_currency,payment_method,local_clearing_system
PERSONAL,AD,HKD,SWIFT,
COMPANY,AD,HKD,SWIFT,
PERSONAL,DE,CHF,SWIFT,
COMPANY,DE,CHF,SWIFT,
PERSONAL,DK,AUD,SWIFT,
COMPANY,DK,AUD,SWIFT,
PERSONAL,GE,USD,SWIFT,
COMPANY,GE,USD,SWIFT,
PERSONAL,HK,JPY,SWIFT,
COMPANY,HK,JPY,SWIFT,
PERSONAL,HK,SGD,SWIFT,
COMPANY,HK,SGD,SWIFT,
PERSONAL,IL,CAD,SWIFT,
COMPANY,IL,CAD,SWIFT,
PERSONAL,IL,CHF,SWIFT,
COMPANY,IL,CHF,SWIFT,
PERSONAL,KR,CAD,SWIFT,
COMPANY,KR,CAD,SWIFT,
PERSONAL,KR,JPY,SWIFT,
COMPANY,KR,JPY,SWIFT,
PERSONAL,KR,SGD,SWIFT,
PERSONAL,KR,SGD,SWIFT,
COMPANY,KR,KRW,LOCAL,
PERSONAL,KR,KRW,LOCAL,
PERSONAL,KW,CHF,SWIFT,
COMPANY,KW,CHF,SWIFT,
PERSONAL,LK,AUD,SWIFT,
COMPANY,LK,AUD,SWIFT,
PERSONAL,MK,AUD,SWIFT,
COMPANY,MK,AUD,SWIFT,
PERSONAL,MK,USD,SWIFT,
COMPANY,MK,USD,SWIFT,
PERSONAL,NL,CHF,SWIFT,
COMPANY,NL,CHF,SWIFT,
PERSONAL,PF,NZD,SWIFT,
COMPANY,PF,NZD,SWIFT,
PERSONAL,PH,AUD,SWIFT,
COMPANY,PH,AUD,SWIFT,
PERSONAL,PL,HKD,SWIFT,
COMPANY,PL,HKD,SWIFT,
PERSONAL,PM,SGD,SWIFT,
COMPANY,PM,SGD,SWIFT,
PERSONAL,SA,SGD,SWIFT,
COMPANY,SA,SGD,SWIFT,
PERSONAL,SC,SGD,SWIFT,
COMPANY,SC,SGD,SWIFT,
PERSONAL,TR,AUD,SWIFT,
COMPANY,TR,AUD,SWIFT,
PERSONAL,TW,CNY,SWIFT,
COMPANY,TW,CNY,SWIFT,
PERSONAL,UA,CAD,SWIFT,
COMPANY,UA,CAD,SWIFT,
PERSONAL,UA,NZD,SWIFT,
COMPANY,UA,NZD,SWIFT,
PERSONAL,UG,GBP,SWIFT,
COMPANY,UG,GBP,SWIFT,
PERSONAL,VU,GBP,SWIFT,
COMPANY,VU,GBP,SWIFT,
PERSONAL,VU,THB,SWIFT,
COMPANY,VU,THB,SWIFT,
PERSONAL,YT,HKD,SWIFT,
COMPANY,YT,HKD,SWIFT,
PERSONAL,ZA,AUD,SWIFT,
COMPANY,ZA,AUD,SWIFT,
PERSONAL,ZM,USD,SWIFT,
COMPANY,ZM,USD,SWIFT,
PERSONAL,AE,CHF,SWIFT,
COMPANY,AE,CHF,SWIFT,
PERSONAL,AO,GBP,SWIFT,
COMPANY,AO,GBP,SWIFT,
PERSONAL,AR,EUR,SWIFT,
COMPANY,AR,EUR,SWIFT,
PERSONAL,AT,AUD,SWIFT,
COMPANY,AT,AUD,SWIFT,
PERSONAL,AT,JPY,SWIFT,
COMPANY,AT,JPY,SWIFT,
PERSONAL,AT,SGD,SWIFT,
COMPANY,AT,SGD,SWIFT,
PERSONAL,BE,EUR,LOCAL,
PERSONAL,BE,EUR,SWIFT,
COMPANY,BE,EUR,LOCAL,
COMPANY,BE,EUR,SWIFT,
PERSONAL,CN,AUD,SWIFT,
COMPANY,CN,AUD,SWIFT,
PERSONAL,CZ,CNY,SWIFT,
COMPANY,CZ,CNY,SWIFT,
PERSONAL,DE,CAD,SWIFT,
COMPANY,DE,CAD,SWIFT,
PERSONAL,DM,CNY,SWIFT,
COMPANY,DM,CNY,SWIFT,
PERSONAL,EC,CNY,SWIFT,
COMPANY,EC,CNY,SWIFT,
PERSONAL,EC,JPY,SWIFT,
COMPANY,EC,JPY,SWIFT,
PERSONAL,ES,USD,SWIFT,
COMPANY,ES,USD,SWIFT,
PERSONAL,FI,CNY,SWIFT,
COMPANY,FI,CNY,SWIFT,
PERSONAL,FJ,HKD,SWIFT,
COMPANY,FJ,HKD,SWIFT,
PERSONAL,FR,HKD,SWIFT,
COMPANY,FR,HKD,SWIFT,
PERSONAL,GR,THB,SWIFT,
COMPANY,GR,THB,SWIFT,
PERSONAL,HR,EUR,LOCAL SWIFT,
COMPANY,HR,EUR,LOCAL SWIFT,
PERSONAL,KZ,CNY,SWIFT,
COMPANY,KZ,CNY,SWIFT,
PERSONAL,LT,EUR,LOCAL SWIFT,
COMPANY,LT,EUR,LOCAL SWIFT,
PERSONAL,LV,JPY,SWIFT,
COMPANY,LV,JPY,SWIFT,
PERSONAL,MA,JPY,SWIFT,
COMPANY,MA,JPY,SWIFT,
PERSONAL,MA,CHF,SWIFT,
COMPANY,MA,CHF,SWIFT,
PERSONAL,MQ,EUR,LOCAL SWIFT,
COMPANY,MQ,EUR,LOCAL SWIFT,
PERSONAL,NL,SGD,SWIFT,
COMPANY,NL,SGD,SWIFT,
PERSONAL,SI,AUD,SWIFT,
COMPANY,SI,AUD,SWIFT,
PERSONAL,SI,EUR,LOCAL SWIFT,
COMPANY,SI,EUR,LOCAL SWIFT,
PERSONAL,SK,EUR,LOCAL SWIFT,
COMPANY,SK,EUR,LOCAL SWIFT,
PERSONAL,VN,CAD,SWIFT,
COMPANY,VN,CAD,SWIFT,
PERSONAL,AU,JPY,SWIFT,
COMPANY,AU,JPY,SWIFT,
PERSONAL,BO,THB,SWIFT,
COMPANY,BO,THB,SWIFT,
PERSONAL,BR,NZD,SWIFT,
COMPANY,BR,NZD,SWIFT,
PERSONAL,CN,THB,SWIFT,
COMPANY,CN,THB,SWIFT,
PERSONAL,DE,AUD,SWIFT,
COMPANY,DE,AUD,SWIFT,
PERSONAL,DE,JPY,SWIFT,
COMPANY,DE,JPY,SWIFT,
PERSONAL,EG,JPY,SWIFT,
COMPANY,EG,JPY,SWIFT,
PERSONAL,GR,GBP,SWIFT,
COMPANY,GR,GBP,SWIFT,
PERSONAL,GR,NZD,SWIFT,
COMPANY,GR,NZD,SWIFT,
PERSONAL,GR,CHF,SWIFT,
COMPANY,GR,CHF,SWIFT,
PERSONAL,HR,USD,SWIFT,
COMPANY,HR,USD,SWIFT,
PERSONAL,HU,JPY,SWIFT,
COMPANY,HU,JPY,SWIFT,
PERSONAL,ID,EUR,SWIFT,
COMPANY,ID,EUR,SWIFT,
PERSONAL,IE,NZD,SWIFT,
COMPANY,IE,NZD,SWIFT,
PERSONAL,IM,NZD,SWIFT,
COMPANY,IM,NZD,SWIFT,
PERSONAL,IT,GBP,SWIFT,
COMPANY,IT,GBP,SWIFT,
PERSONAL,JE,HKD,SWIFT,
COMPANY,JE,HKD,SWIFT,
PERSONAL,KG,JPY,SWIFT,
COMPANY,KG,JPY,SWIFT,
PERSONAL,MD,HKD,SWIFT,
COMPANY,MD,HKD,SWIFT,
PERSONAL,MD,NZD,SWIFT,
COMPANY,MD,NZD,SWIFT,
PERSONAL,ME,AUD,SWIFT,
COMPANY,ME,AUD,SWIFT,
PERSONAL,MK,HKD,SWIFT,
COMPANY,MK,HKD,SWIFT,
PERSONAL,NL,GBP,SWIFT,
COMPANY,NL,GBP,SWIFT,
PERSONAL,NP,GBP,SWIFT,
COMPANY,NP,GBP,SWIFT,
PERSONAL,PE,THB,SWIFT,
COMPANY,PE,THB,SWIFT,
PERSONAL,PR,THB,SWIFT,
COMPANY,PR,THB,SWIFT,
PERSONAL,SA,JPY,SWIFT,
COMPANY,SA,JPY,SWIFT,
PERSONAL,SC,HKD,SWIFT,
COMPANY,SC,HKD,SWIFT,
PERSONAL,SK,JPY,SWIFT,
COMPANY,SK,JPY,SWIFT,
PERSONAL,SM,EUR,LOCAL SWIFT,
COMPANY,SM,EUR,LOCAL SWIFT,
PERSONAL,TW,AUD,SWIFT,
COMPANY,TW,AUD,SWIFT,
PERSONAL,AL,EUR,SWIFT,
COMPANY,AL,EUR,SWIFT,
PERSONAL,AM,AUD,SWIFT,
COMPANY,AM,AUD,SWIFT,
PERSONAL,AU,HKD,SWIFT,
COMPANY,AU,HKD,SWIFT,
PERSONAL,BE,CHF,SWIFT,
COMPANY,BE,CHF,SWIFT,
PERSONAL,BO,CNY,SWIFT,
COMPANY,BO,CNY,SWIFT,
PERSONAL,BZ,AUD,SWIFT,
COMPANY,BZ,AUD,SWIFT,
PERSONAL,CA,NZD,SWIFT,
COMPANY,CA,NZD,SWIFT,
PERSONAL,EG,CHF,SWIFT,
COMPANY,EG,CHF,SWIFT,
PERSONAL,ES,AUD,SWIFT,
COMPANY,ES,AUD,SWIFT,
PERSONAL,ES,SGD,SWIFT,
COMPANY,ES,SGD,SWIFT,
PERSONAL,FJ,NZD,SWIFT,
COMPANY,FJ,NZD,SWIFT,
PERSONAL,GB,CAD,SWIFT,
COMPANY,GB,CAD,SWIFT,
PERSONAL,GG,HKD,SWIFT,
COMPANY,GG,HKD,SWIFT,
PERSONAL,HU,GBP,SWIFT,
COMPANY,HU,GBP,SWIFT,
PERSONAL,HU,THB,SWIFT,
COMPANY,HU,THB,SWIFT,
PERSONAL,ID,NZD,SWIFT,
COMPANY,ID,NZD,SWIFT,
PERSONAL,IE,AUD,SWIFT,
COMPANY,IE,AUD,SWIFT,
PERSONAL,LI,SGD,SWIFT,
COMPANY,LI,SGD,SWIFT,
PERSONAL,MQ,THB,SWIFT,
COMPANY,MQ,THB,SWIFT,
PERSONAL,NG,NZD,SWIFT,
COMPANY,NG,NZD,SWIFT,
PERSONAL,PK,NZD,SWIFT,
COMPANY,PK,NZD,SWIFT,
PERSONAL,PT,USD,SWIFT,
COMPANY,PT,USD,SWIFT,
PERSONAL,QA,USD,SWIFT,
COMPANY,QA,USD,SWIFT,
PERSONAL,RO,AUD,SWIFT,
COMPANY,RO,AUD,SWIFT,
PERSONAL,RO,HKD,SWIFT,
COMPANY,RO,HKD,SWIFT,
PERSONAL,SG,EUR,SWIFT,
COMPANY,SG,EUR,SWIFT,
PERSONAL,YT,AUD,SWIFT,
COMPANY,YT,AUD,SWIFT,
PERSONAL,BG,NZD,SWIFT,
COMPANY,BG,NZD,SWIFT,
PERSONAL,BH,USD,SWIFT,
COMPANY,BH,USD,SWIFT,
PERSONAL,BO,HKD,SWIFT,
COMPANY,BO,HKD,SWIFT,
PERSONAL,BR,SGD,SWIFT,
COMPANY,BR,SGD,SWIFT,
PERSONAL,BZ,GBP,SWIFT,
COMPANY,BZ,GBP,SWIFT,
PERSONAL,CH,GBP,SWIFT,
COMPANY,CH,GBP,SWIFT,
PERSONAL,CH,USD,SWIFT,
COMPANY,CH,USD,SWIFT,
PERSONAL,CL,CAD,SWIFT,
COMPANY,CL,CAD,SWIFT,
PERSONAL,CO,USD,SWIFT,
COMPANY,CO,USD,SWIFT,
PERSONAL,DO,CNY,SWIFT,
COMPANY,DO,CNY,SWIFT,
PERSONAL,DO,JPY,SWIFT,
COMPANY,DO,JPY,SWIFT,
PERSONAL,GG,JPY,SWIFT,
COMPANY,GG,JPY,SWIFT,
PERSONAL,GI,CNY,SWIFT,
COMPANY,GI,CNY,SWIFT,
PERSONAL,GI,THB,SWIFT,
COMPANY,GI,THB,SWIFT,
PERSONAL,HU,CHF,SWIFT,
COMPANY,HU,CHF,SWIFT,
PERSONAL,ID,USD,SWIFT,
COMPANY,ID,USD,SWIFT,
PERSONAL,JO,CNY,SWIFT,
COMPANY,JO,CNY,SWIFT,
PERSONAL,JO,USD,SWIFT,
COMPANY,JO,USD,SWIFT,
PERSONAL,JP,GBP,SWIFT,
COMPANY,JP,GBP,SWIFT,
PERSONAL,KH,GBP,SWIFT,
COMPANY,KH,GBP,SWIFT,
PERSONAL,MD,JPY,SWIFT,
COMPANY,MD,JPY,SWIFT,
PERSONAL,NP,USD,SWIFT,
COMPANY,NP,USD,SWIFT,
PERSONAL,PK,CAD,SWIFT,
COMPANY,PK,CAD,SWIFT,
PERSONAL,PM,THB,SWIFT,
COMPANY,PM,THB,SWIFT,
PERSONAL,QA,THB,SWIFT,
COMPANY,QA,THB,SWIFT,
PERSONAL,SG,GBP,SWIFT,
COMPANY,SG,GBP,SWIFT,
PERSONAL,TN,USD,SWIFT,
COMPANY,TN,USD,SWIFT,
PERSONAL,TR,THB,SWIFT,
COMPANY,TR,THB,SWIFT,
PERSONAL,TZ,JPY,SWIFT,
COMPANY,TZ,JPY,SWIFT,
PERSONAL,UG,CNY,SWIFT,
COMPANY,UG,CNY,SWIFT,
PERSONAL,AD,JPY,SWIFT,
COMPANY,AD,JPY,SWIFT,
PERSONAL,AL,THB,SWIFT,
COMPANY,AL,THB,SWIFT,
PERSONAL,AZ,CNY,SWIFT,
COMPANY,AZ,CNY,SWIFT,
PERSONAL,BR,HKD,SWIFT,
COMPANY,BR,HKD,SWIFT,
PERSONAL,BR,USD,SWIFT,
COMPANY,BR,USD,SWIFT,
PERSONAL,CA,CNY,SWIFT,
COMPANY,CA,CNY,SWIFT,
PERSONAL,CN,HKD,SWIFT,
COMPANY,CN,HKD,SWIFT,
PERSONAL,CO,CAD,SWIFT,
COMPANY,CO,CAD,SWIFT,
PERSONAL,CY,USD,SWIFT,
COMPANY,CY,USD,SWIFT,
PERSONAL,CZ,GBP,SWIFT,
COMPANY,CZ,GBP,SWIFT,
PERSONAL,CZ,NZD,SWIFT,
COMPANY,CZ,NZD,SWIFT,
PERSONAL,DE,GBP,SWIFT,
COMPANY,DE,GBP,SWIFT,
PERSONAL,FI,GBP,SWIFT,
COMPANY,FI,GBP,SWIFT,
PERSONAL,FI,THB,SWIFT,
COMPANY,FI,THB,SWIFT,
PERSONAL,GR,EUR,LOCAL SWIFT,
COMPANY,GR,EUR,LOCAL SWIFT,
PERSONAL,GR,USD,SWIFT,
COMPANY,GR,USD,SWIFT,
PERSONAL,GY,THB,SWIFT,
COMPANY,GY,THB,SWIFT,
PERSONAL,HK,EUR,SWIFT,
COMPANY,HK,EUR,SWIFT,
PERSONAL,HN,SGD,SWIFT,
COMPANY,HN,SGD,SWIFT,
PERSONAL,IL,HKD,SWIFT,
COMPANY,IL,HKD,SWIFT,
PERSONAL,IL,THB,SWIFT,
COMPANY,IL,THB,SWIFT,
PERSONAL,JM,CNY,SWIFT,
COMPANY,JM,CNY,SWIFT,
PERSONAL,KE,USD,SWIFT,
COMPANY,KE,USD,SWIFT,
PERSONAL,KG,USD,SWIFT,
COMPANY,KG,USD,SWIFT,
PERSONAL,KH,CAD,SWIFT,
COMPANY,KH,CAD,SWIFT,
PERSONAL,LB,HKD,SWIFT,
COMPANY,LB,HKD,SWIFT,
PERSONAL,MV,SGD,SWIFT,
COMPANY,MV,SGD,SWIFT,
PERSONAL,NP,CAD,SWIFT,
COMPANY,NP,CAD,SWIFT,
PERSONAL,PF,HKD,SWIFT,
COMPANY,PF,HKD,SWIFT,
PERSONAL,PT,EUR,LOCAL SWIFT,
COMPANY,PT,EUR,LOCAL SWIFT,
PERSONAL,SE,SGD,SWIFT,
COMPANY,SE,SGD,SWIFT,
PERSONAL,SK,GBP,SWIFT,
COMPANY,SK,GBP,SWIFT,
PERSONAL,UA,CNY,SWIFT,
COMPANY,UA,CNY,SWIFT,
PERSONAL,UY,JPY,SWIFT,
COMPANY,UY,JPY,SWIFT,
PERSONAL,VU,CAD,SWIFT,
COMPANY,VU,CAD,SWIFT,
PERSONAL,VU,HKD,SWIFT,
COMPANY,VU,HKD,SWIFT,
PERSONAL,VU,USD,SWIFT,
COMPANY,VU,USD,SWIFT,
PERSONAL,ZM,HKD,SWIFT,
COMPANY,ZM,HKD,SWIFT,
PERSONAL,AD,CNY,SWIFT,
COMPANY,AD,CNY,SWIFT,
PERSONAL,AW,THB,SWIFT,
COMPANY,AW,THB,SWIFT,
PERSONAL,AZ,JPY,SWIFT,
COMPANY,AZ,JPY,SWIFT,
PERSONAL,AZ,CHF,SWIFT,
COMPANY,AZ,CHF,SWIFT,
PERSONAL,BH,JPY,SWIFT,
COMPANY,BH,JPY,SWIFT,
PERSONAL,CO,AUD,SWIFT,
COMPANY,CO,AUD,SWIFT,
PERSONAL,CO,EUR,SWIFT,
COMPANY,CO,EUR,SWIFT,
PERSONAL,CO,NZD,SWIFT,
COMPANY,CO,NZD,SWIFT,
PERSONAL,EC,GBP,SWIFT,
COMPANY,EC,GBP,SWIFT,
PERSONAL,EC,NZD,SWIFT,
COMPANY,EC,NZD,SWIFT,
PERSONAL,EC,USD,SWIFT,
COMPANY,EC,USD,SWIFT,
PERSONAL,EE,AUD,SWIFT,
COMPANY,EE,AUD,SWIFT,
PERSONAL,EG,GBP,SWIFT,
COMPANY,EG,GBP,SWIFT,
PERSONAL,FJ,USD,SWIFT,
COMPANY,FJ,USD,SWIFT,
PERSONAL,FR,CAD,SWIFT,
COMPANY,FR,CAD,SWIFT,
PERSONAL,FR,USD,SWIFT,
COMPANY,FR,USD,SWIFT,
PERSONAL,GQ,HKD,SWIFT,
COMPANY,GQ,HKD,SWIFT,
PERSONAL,GQ,SGD,SWIFT,
COMPANY,GQ,SGD,SWIFT,
PERSONAL,ID,CNY,SWIFT,
COMPANY,ID,CNY,SWIFT,
PERSONAL,KE,AUD,SWIFT,
COMPANY,KE,AUD,SWIFT,
PERSONAL,KR,EUR,SWIFT,
COMPANY,KR,EUR,SWIFT,
PERSONAL,KR,CHF,SWIFT,
COMPANY,KR,CHF,SWIFT,
PERSONAL,LI,CHF,SWIFT,
COMPANY,LI,CHF,SWIFT,
PERSONAL,LK,GBP,SWIFT,
COMPANY,LK,GBP,SWIFT,
PERSONAL,LK,SGD,SWIFT,
COMPANY,LK,SGD,SWIFT,
PERSONAL,LU,CHF,SWIFT,
COMPANY,LU,CHF,SWIFT,
PERSONAL,MA,EUR,SWIFT,
COMPANY,MA,EUR,SWIFT,
PERSONAL,MQ,USD,SWIFT,
COMPANY,MQ,USD,SWIFT,
PERSONAL,NI,CNY,SWIFT,
COMPANY,NI,CNY,SWIFT,
PERSONAL,PL,AUD,SWIFT,
COMPANY,PL,AUD,SWIFT,
PERSONAL,PL,NZD,SWIFT,
COMPANY,PL,NZD,SWIFT,
PERSONAL,QA,GBP,SWIFT,
COMPANY,QA,GBP,SWIFT,
PERSONAL,SE,THB,SWIFT,
COMPANY,SE,THB,SWIFT,
PERSONAL,SI,CAD,SWIFT,
COMPANY,SI,CAD,SWIFT,
PERSONAL,SV,SGD,SWIFT,
COMPANY,SV,SGD,SWIFT,
PERSONAL,TJ,CHF,SWIFT,
COMPANY,TJ,CHF,SWIFT,
PERSONAL,TR,USD,SWIFT,
COMPANY,TR,USD,SWIFT,
PERSONAL,TW,JPY,SWIFT,
COMPANY,TW,JPY,SWIFT,
PERSONAL,US,GBP,SWIFT,
COMPANY,US,GBP,SWIFT,
PERSONAL,UY,HKD,SWIFT,
COMPANY,UY,HKD,SWIFT,
PERSONAL,UY,USD,SWIFT,
COMPANY,UY,USD,SWIFT,
PERSONAL,ZA,CHF,SWIFT,
COMPANY,ZA,CHF,SWIFT,
PERSONAL,AE,HKD,SWIFT,
COMPANY,AE,HKD,SWIFT,
PERSONAL,AG,JPY,SWIFT,
COMPANY,AG,JPY,SWIFT,
PERSONAL,AR,THB,SWIFT,
COMPANY,AR,THB,SWIFT,
PERSONAL,AT,CAD,SWIFT,
COMPANY,AT,CAD,SWIFT,
PERSONAL,AW,EUR,SWIFT,
COMPANY,AW,EUR,SWIFT,
PERSONAL,AZ,USD,SWIFT,
COMPANY,AZ,USD,SWIFT,
PERSONAL,BA,EUR,SWIFT,
COMPANY,BA,EUR,SWIFT,
PERSONAL,BZ,SGD,SWIFT,
COMPANY,BZ,SGD,SWIFT,
PERSONAL,CO,GBP,SWIFT,
COMPANY,CO,GBP,SWIFT,
PERSONAL,CO,THB,SWIFT,
COMPANY,CO,THB,SWIFT,
PERSONAL,CR,CAD,SWIFT,
COMPANY,CR,CAD,SWIFT,
PERSONAL,FJ,JPY,SWIFT,
COMPANY,FJ,JPY,SWIFT,
PERSONAL,FJ,SGD,SWIFT,
COMPANY,FJ,SGD,SWIFT,
PERSONAL,GB,AUD,SWIFT,
COMPANY,GB,AUD,SWIFT,
PERSONAL,ID,CHF,SWIFT,
COMPANY,ID,CHF,SWIFT,
PERSONAL,IE,GBP,SWIFT,
COMPANY,IE,GBP,SWIFT,
PERSONAL,IE,SGD,SWIFT,
COMPANY,IE,SGD,SWIFT,
PERSONAL,KZ,JPY,SWIFT,
COMPANY,KZ,JPY,SWIFT,
PERSONAL,MC,NZD,SWIFT,
COMPANY,MC,NZD,SWIFT,
PERSONAL,MD,EUR,SWIFT,
COMPANY,MD,EUR,SWIFT,
PERSONAL,NZ,CHF,SWIFT,
COMPANY,NZ,CHF,SWIFT,
PERSONAL,PF,USD,SWIFT,
COMPANY,PF,USD,SWIFT,
PERSONAL,PY,CHF,SWIFT,
COMPANY,PY,CHF,SWIFT,
PERSONAL,QA,HKD,SWIFT,
COMPANY,QA,HKD,SWIFT,
PERSONAL,RS,NZD,SWIFT,
COMPANY,RS,NZD,SWIFT,
PERSONAL,RU,EUR,SWIFT,
COMPANY,RU,EUR,SWIFT,
PERSONAL,SC,CNY,SWIFT,
COMPANY,SC,CNY,SWIFT,
PERSONAL,TR,CAD,SWIFT,
COMPANY,TR,CAD,SWIFT,
PERSONAL,VN,AUD,SWIFT,
COMPANY,VN,AUD,SWIFT,
PERSONAL,VN,NZD,SWIFT,
COMPANY,VN,NZD,SWIFT,
PERSONAL,YT,CHF,SWIFT,
COMPANY,YT,CHF,SWIFT,
PERSONAL,ZM,NZD,SWIFT,
COMPANY,ZM,NZD,SWIFT,
PERSONAL,AE,SGD,SWIFT,
COMPANY,AE,SGD,SWIFT,
PERSONAL,AI,SGD,SWIFT,
COMPANY,AI,SGD,SWIFT,
PERSONAL,BG,CNY,SWIFT,
COMPANY,BG,CNY,SWIFT,
PERSONAL,BR,AUD,SWIFT,
COMPANY,BR,AUD,SWIFT,
PERSONAL,CH,SGD,SWIFT,
COMPANY,CH,SGD,SWIFT,
PERSONAL,CN,CNY,LOCAL SWIFT,
COMPANY,CN,CNY,SWIFT,
PERSONAL,DZ,SGD,SWIFT,
COMPANY,DZ,SGD,SWIFT,
PERSONAL,EE,THB,SWIFT,
COMPANY,EE,THB,SWIFT,
PERSONAL,EG,CAD,SWIFT,
COMPANY,EG,CAD,SWIFT,
PERSONAL,GD,AUD,SWIFT,
